time,stock,atm_diff
10:33,HUDCO,
10:33,ICICIBANK,
10:33,ICICIGI,
10:33,ICICIPRULI,
10:33,IDEA,
10:33,IDFCFIRSTB,
10:33,IEX,
10:33,IIFL,
10:33,INDHOTEL,
10:33,INDIANB,
10:33,INDIGO,
10:33,INDUSINDBK,
10:33,INDUSTOWER,
10:33,INFY,
10:33,INOXWIND,
10:33,IOC,
10:33,IRCTC,
10:33,IREDA,
10:33,IRFC,
10:33,ITC,
10:33,JINDALSTEL,
10:33,JIOFIN,
10:33,JSWENERGY,
10:33,JSWSTEEL,
10:33,JUBLFOOD,
10:33,KALYANKJIL,
10:33,KAYNES,
10:33,KEI,
10:33,KFINTECH,
10:33,KOTAKBANK,
10:33,KPITTECH,
10:33,LAURUSLABS,
10:33,LICHSGFIN,
10:33,LICI,
10:33,LODHA,
10:33,LT,
10:33,LTF,
10:33,LTIM,
10:33,LUPIN,
10:33,M&M,
10:33,MANAPPURAM,
10:33,MANKIND,
10:33,MARICO,
10:33,MARUTI,
10:33,MAXHEALTH,
10:33,MAZDOCK,
10:33,MCX,
10:33,MFSL,
